tblUploadID,tblHaulID,Ship,Gear,HaulNo,StationNumber,Year,Month,Day,Time,ShootLat,ShootLong,HaulLat,HaulLong,ICESrectangle,Depth,Survey,ICESDatabase,Notes
8528,20859,06SL,TVS,38,22011,2020,11,21,0532,54.5409,10.1536,NA,NA,38G0,20,BITS,N,NA
8528,20860,06SL,TVS,39,22128,2020,11,21,0748,54.7706,10.1455,NA,NA,38G0,25,BITS,N,NA
8528,20858,06SL,TVS,35,22145,2020,11,20,1043,54.2907,11.5676,NA,NA,37G1,25,BITS,N,NA
8531,20873,06SL,OTB,48,-9,2020,10,18,1723,56.5968,12.065,NA,NA,42G2,25,BIAS,N,NA
8531,20874,06SL,OTB,13,-9,2020,10,7,2057,54.3573,11.4201,NA,NA,37G1,23,BIAS,N,NA
8528,20862,06SL,TVS,43,22135,2020,11,23,0542,54.6074,11.1839,NA,NA,38G1,27,BITS,N,NA
8528,20863,06SL,TVS,45,24005,2020,11,24,0531,54.6722,12.2685,NA,NA,38G2,19,BITS,N,NA
8531,20875,06SL,OTB,19,-9,2020,10,6,1457,55.7365,10.5117,NA,NA,40G0,21,BIAS,N,NA
8528,20864,06SL,TVS,46,24058,2020,11,24,0715,54.7175,12.275,NA,NA,38G2,21,BITS,N,NA
8528,20856,06SL,TVS,40,22004,2020,11,22,0532,54.4376,10.677,NA,NA,37G0,19,BITS,N,NA
8531,20872,06SL,OTB,40,-9,2020,10,16,1437,56.4667,12.4327,NA,NA,41G2,30,BIAS,N,NA
8528,20857,06SL,TVS,34,22044,2020,11,20,0859,54.1165,11.1581,NA,NA,37G1,23,BITS,N,NA
8528,20861,06SL,TVS,41,22065,2020,11,22,0711,54.578,10.66,NA,NA,38G0,21,BITS,N,NA
12710,30324,77U3,TV3,5,6,2021,11,3,0740,55.8655,12.649,55.8526,12.6611,40G2,18,SSS,Y,vingar 6m.
12710,30325,77U3,TV3,6,8,2021,11,3,1012,55.8342,12.7503,55.8505,12.7499,40G2,33,SSS,Y,vingar 5.5
12710,30321,77U3,TV3,2,2,2021,11,1,1353,55.9385,12.6988,55.9503,12.6948,40G2,31,SSS,Y,det gamla halet  vingar 6 4
8529,20865,06SL,TVS,22,24298,2021,2,24,0453,54.9127,12.967,NA,NA,38G2,39,BITS,N,NA
12710,30320,77U3,TV3,1,1,2021,11,1,1307,55.9252,12.7169,55.9337,12.7003,40G2,39,SSS,Y,hven djupt ändra minsta avstånd på vingar 7 4m
12710,30327,77U3,TV3,8,10,2021,11,4,0725,55.9594,12.6429,55.9467,12.6325,40G2,19,SSS,Y,vingar ca 5 m
12710,30322,77U3,TV3,3,3,2021,11,2,0740,55.787,12.8637,55.7736,12.8739,40G2,18,SSS,Y,vingar 6 2
12710,30326,77U3,TV3,7,9,2021,11,3,1224,55.9439,12.6662,55.9593,12.6735,40G2,23,SSS,Y,vingar ca 5 5 m.
12710,30323,77U3,TV3,4,5,2021,11,2,1153,55.7532,12.7131,55.7689,12.7173,40G2,15,SSS,Y,vingar 6
8526,20818,26D4,FOT,24,101,2022,6,15,0543,55.1591,0.2698,55.1685,0.3273,39F0,89,MEGS22,Y,wing dist: 34 M. Stationen er overført fra SIS.
12690,29835,77SE,GOV,16,22,2022,1,25,1454,58.064,11.077,58.0942,11.0656,45G1,132,IBTS,Y,NA
9620,24561,64T2,GOV,17,3.9e+18,2022,2,2,1216,55.1111,0.2191,55.1111,0.2191,39F0,NA,IBTS,Y,NA
8526,20807,26D4,FOT,20,87,2022,6,14,0543,56.188,-0.722,56.1775,-0.7695,41E9,73,MEGS22,Y,wing dist: 33 meter. Stationen er overført fra SIS.
12693,29866,77U3,TV3,4,4,2022,11,1,1246,55.9257,12.7156,55.9362,12.6981,40G2,37,SSS,Y,NA
11679,28523,06NI,GOV,23,473,2022,8,12,0722,54.9045,5.238,54.9045,5.238,38F5,42,G2829,Y,NA
12690,29824,77SE,GOV,25,32,2022,1,28,1252,56.5464,12.543,56.5552,12.5963,42G2,23,IBTS,Y,NA
8526,20849,26D4,GOV,57,177,2022,9,1,1301,57.7152,5.1757,57.7409,5.2161,44F5,108,IBTS,Y,wing dist 23m. Stationen er overført fra SIS.
12692,29855,77U3,TV3,3,3,2022,3,14,1340,55.9443,12.6653,55.9576,12.6732,40G2,23,SSS,Y,snäckskal 7kg.
8346,7300,11BU,BMT,31,NA,2022,11,16,1615,51.5932,2.5939,51.6805,2.6692,32F2,NA,NA,N,NA
9620,24542,64T2,GOV,10,Inf,2022,1,26,1530,53.8714,6.1026,53.8714,6.1026,36F6,NA,IBTS,Y,NA
