ecoregion,year,country,n_old
Baltic Sea,1963,LV,2172
Baltic Sea,1964,LV,1733
Baltic Sea,1965,LV,9041
Baltic Sea,1966,LV,7396
Baltic Sea,1967,LV,4179
Baltic Sea,1968,LV,2420
Baltic Sea,1969,LV,6064
Baltic Sea,1970,LV,3784
Baltic Sea,1971,LV,3837
Baltic Sea,1972,LV,2362
Baltic Sea,1973,LV,5137
Baltic Sea,1974,LV,3338
Baltic Sea,1975,LV,1615
Baltic Sea,1976,LV,5106
Baltic Sea,1977,LV,4144
Baltic Sea,1978,LV,4758
Baltic Sea,1979,LV,8917
Baltic Sea,1980,LV,5421
Baltic Sea,1981,LV,3198
Baltic Sea,1982,LV,8344
Baltic Sea,1983,LV,6873
Baltic Sea,1984,LV,3403
Baltic Sea,1985,LV,3154
Baltic Sea,1986,LV,4099
Baltic Sea,1987,LV,3756
Baltic Sea,1988,LV,2800
Baltic Sea,1989,LV,2370
Baltic Sea,1990,LV,2571
Baltic Sea,1991,LV,1646
Baltic Sea,1993,LV,469
Baltic Sea,1994,LV,266
Baltic Sea,1995,LV,395
Baltic Sea,1996,LV,570
Baltic Sea,1997,LV,384
Baltic Sea,1998,LV,141
Baltic Sea,1999,LV,929
Baltic Sea,2000,LV,826
Baltic Sea,2001,LV,449
Baltic Sea,2002,LV,338
Baltic Sea,2003,LV,534
Baltic Sea,2004,LV,743
Baltic Sea,2005,LV,880
Baltic Sea,2006,LV,1400
Baltic Sea,2007,DK,2277
Baltic Sea,2007,LV,958
Baltic Sea,2007,PL,742
Baltic Sea,2008,DK,3237
Baltic Sea,2008,LV,1398
Baltic Sea,2009,DK,3377
Baltic Sea,2009,LV,540
Baltic Sea,2010,DK,2406
Baltic Sea,2012,LV,783
Baltic Sea,2012,PL,1642
Baltic Sea,2012,SE,495
Baltic Sea,2013,LV,889
Baltic Sea,2013,PL,2827
Baltic Sea,2013,SE,1782
Baltic Sea,2014,LV,180
Baltic Sea,2014,PL,1656
Greater North Sea,1980,GB,144
Greater North Sea,1980,NL,89
Greater North Sea,1980,NO,11
Greater North Sea,1981,DE,264
Greater North Sea,1981,DK,422
Greater North Sea,1981,FR,9
Greater North Sea,1981,GB,1787
Greater North Sea,1981,NL,2398
Greater North Sea,1981,NO,810
Greater North Sea,1982,GB,86
Greater North Sea,1982,NL,154
Greater North Sea,1982,NO,10
Greater North Sea,1983,DK,13
Greater North Sea,1983,GB,21
Greater North Sea,1983,NL,269
Greater North Sea,1983,NO,19
Greater North Sea,1984,DK,15
Greater North Sea,1984,GB,100
Greater North Sea,1984,NL,689
Greater North Sea,1985,DE,99
Greater North Sea,1985,DK,106
Greater North Sea,1985,GB,777
Greater North Sea,1985,NL,533
Greater North Sea,1985,NO,78
Greater North Sea,1986,BE,6
Greater North Sea,1986,DE,86
Greater North Sea,1986,DK,27
Greater North Sea,1986,GB,884
Greater North Sea,1986,NL,681
Greater North Sea,1986,NO,119
Greater North Sea,1987,DK,57
Greater North Sea,1987,GB,939
Greater North Sea,1987,NL,549
Greater North Sea,1987,NO,95
Greater North Sea,1988,NL,20
Greater North Sea,1989,DK,3
Greater North Sea,1989,NL,291
Greater North Sea,1990,NL,618
Greater North Sea,1991,DE,1133
Greater North Sea,1991,DK,2691
Greater North Sea,1991,FR,150
Greater North Sea,1991,GB,9902
Greater North Sea,1991,IE,1
Greater North Sea,1991,NL,6201
Greater North Sea,1991,NO,3720
Greater North Sea,1991,SE,160
Greater North Sea,2013,SE,2358
